Continent,Country,City,Station,latitude,longitude,Url
Asia,Afghanistan,Kabul,,34.533333,69.166667,http://50.117.26.26:3953/;stream.mp3
Asia,Afghanistan,Kabul,BFBS,34.533333,69.1667,http://icy-e-03-boh.sharp-stream.com/ssvcbfbs9.mp3
Asia,Bangladesh,Dhaka,Hello Danka Live,23.7805837,90.4162568,http://184.154.145.114:8000/stream
Asia,Hong Kong,Kowloon,RTHK Radio 5,22.341834,114.181043,http://202.177.192.119/radio5
Asia,Iran,Tehran,Radio Ava Film,35.696111,51.423056,http://38.99.146.102:8000/avafilm.mp3
Asia,Iran,Tehran,Radio Rerza,35.72979186,51.34872437,http://38.99.146.102:8000/reza.mp3
Asia,Iraq,Baghdad,Radio Nawa,33.325,44.422,http://nawaradio.primcast.com:4098/;stream.mp3
Asia,Israel,Tel Aviv,100 FM,32.0852999,34.7817676,http://213.8.143.168/100Israeli
Asia,Israel,Tel Aviv,Noshmim Mizrahit,32.06773788,34.76966858,http://www.rs.mizrahit.co.il:7777/;stream/1
Asia,Israel,Rishon LeTsiyon,Radio Lev Hamedina,31.9916369,34.7747288,http://213.8.143.168/91fmAudio
Asia,Japan,Tokyo,Asia DREAM Radio,35.6894875,139.6917064,http://streaming.radionomy.com/AsiaDREAMRadioJapan
Asia,Jordan,Amman,Radio Haya,31.9565783,35.9456951,http://stream.purecore.net:8000/;?1396790272093.mp3
Asia,Kazakhstan,Almaty,Energy FM,43.2519019,76.9322321,http://live26.kiwi.kz:8000/energyfm?
Asia,Lebanon,Beirut,Sawt Al Farah,33.8886289,35.4954794,http://209.15.226.17:9036/stream
Asia,Lebanon,Beirut,Voix Du Liban,33.88810531,35.48938036,http://209.15.226.17:9054/stream
Asia,Malaysia,Kuching,Red FM,1.5550175,110.3408706,http://starrfm.rastream.com/starrfm-redfm
Asia,Mongolia,Ulaanbaatar,MGLRADIO,47.92,106.92,http://50.7.76.251:8080/;stream.mp3?1423349710959.mp3
Asia,Philippines,Manila,Rakista Radio,14.5995124,120.9842195,http://icecast.eradioportal.com:8000/yesfm_manila
